saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
458,00a17d6c125942fcadcdf62eeec74ae2,86,2,18889630,18889792,1041.039936,447.38946,606.304896,524.918556,162,441.5940621548016
459,00a17d6c125942fcadcdf62eeec74ae2,86,2,18889889,18889937,606.304896,524.918556,606.304896,460.651212,48,64.26734399999998
460,00a17d6c125942fcadcdf62eeec74ae2,86,2,18890224,18890336,606.304896,460.651212,997.381824,475.10841600000003,112,391.3440613595853
461,00a17d6c125942fcadcdf62eeec74ae2,86,2,18890497,18890640,997.381824,475.10841600000003,496.222848,801.43722,143,598.0391354630891
462,00a17d6c125942fcadcdf62eeec74ae2,86,2,18890833,18891008,496.222848,801.43722,563.0632320000001,459.33944399999996,175,348.56638575372364
463,00a17d6c125942fcadcdf62eeec74ae2,86,2,18891296,18891344,563.0632320000001,459.33944399999996,837.1989120000001,446.241636,48,274.4483988356778
464,00a17d6c125942fcadcdf62eeec74ae2,86,2,18891505,18891600,837.1989120000001,446.241636,959.464896,764.618292,95,341.0464278206569
465,00a17d6c125942fcadcdf62eeec74ae2,86,2,18891808,18891936,959.464896,764.618292,734.952,411.46542,128,418.4769903736108
466,00a17d6c125942fcadcdf62eeec74ae2,87,1,18892144,18892513,734.952,411.46542,766.58784,438.285168,369,41.474392765767
467,00a17d6c125942fcadcdf62eeec74ae2,87,1,18892705,18892817,766.58784,438.285168,532.9695360000001,762.044112,112,399.2459965783396
468,00a17d6c125942fcadcdf62eeec74ae2,87,1,18893121,18893152,532.9695360000001,762.044112,558.094848,514.311768,31,249.00320392884845
469,00a17d6c125942fcadcdf62eeec74ae2,87,1,18893248,18893280,558.094848,514.311768,506.35814400000004,497.86142400000006,32,54.289044553224024
470,00a17d6c125942fcadcdf62eeec74ae2,87,1,18893408,18893440,506.35814400000004,497.86142400000006,500.77689599999997,496.048536,32,5.868295505344714
471,00a17d6c125942fcadcdf62eeec74ae2,88,1,18893648,18893888,500.77689599999997,496.048536,919.9463039999999,469.602684,240,420.0028281941401
472,00a17d6c125942fcadcdf62eeec74ae2,88,1,18894224,18894416,919.9463039999999,469.602684,774.1776,454.8582,192,146.51250756937395
473,00a17d6c125942fcadcdf62eeec74ae2,88,1,18894625,18894928,774.1776,454.8582,689.884224,449.808012,303,84.44452401614159
474,00a17d6c125942fcadcdf62eeec74ae2,89,2,18895233,18895264,689.884224,449.808012,777.3148799999999,440.93354400000004,31,87.87989412188284
475,00a17d6c125942fcadcdf62eeec74ae2,89,2,18895424,18895552,777.3148799999999,440.93354400000004,555.646848,484.66468799999996,128,225.94054387449304
476,00a17d6c125942fcadcdf62eeec74ae2,89,2,18895762,18895792,555.646848,484.66468799999996,665.168448,469.801512,30,110.52553943486086
477,00a17d6c125942fcadcdf62eeec74ae2,89,2,18895888,18895937,665.168448,469.801512,740.27328,458.62966800000004,49,75.93119179960603
478,00a17d6c125942fcadcdf62eeec74ae2,89,2,18896096,18896193,740.27328,458.62966800000004,944.500608,708.915672,97,323.0354242189355
479,00a17d6c125942fcadcdf62eeec74ae2,89,2,18896368,18896560,944.500608,708.915672,741.663744,460.372896,192,320.80571207374203
479,00a17d6c125942fcadcdf62eeec74ae2,90,2,18896368,18896560,944.500608,708.915672,741.663744,460.372896,192,320.80571207374203
480,00a17d6c125942fcadcdf62eeec74ae2,90,2,18896768,18896801,741.663744,460.372896,552.051648,482.062644,33,190.84861046865575
481,00a17d6c125942fcadcdf62eeec74ae2,90,2,18896897,18896962,552.051648,482.062644,743.404032,478.772964,65,191.38065956879205
482,00a17d6c125942fcadcdf62eeec74ae2,90,2,18897073,18897137,743.404032,478.772964,752.608512,473.71402800000004,64,10.50310837430974
483,00a17d6c125942fcadcdf62eeec74ae2,90,2,18897232,18897329,752.608512,473.71402800000004,566.2022400000001,617.642496,97,235.50520618823904
484,00a17d6c125942fcadcdf62eeec74ae2,90,2,18897472,18897505,566.2022400000001,617.642496,523.4544,762.68952,33,151.2151348110439
