saccade_ser,Id,QuestionsNum,Answer,stime,etime,sxp,syp,exp,eyp,dur,ampl
186,00aad6b578474af5863466361fdf649f,25,2,38990677,38990707,945.78624,470.544444,1035.191616,441.986436,30,93.85563956752651
187,00aad6b578474af5863466361fdf649f,25,2,38990883,38991221,1035.191616,441.986436,539.721408,474.545196,338,496.5388201020147
188,00aad6b578474af5863466361fdf649f,25,2,38991409,38991508,539.721408,474.545196,864.864192,491.07384,99,325.5626300111077
189,00aad6b578474af5863466361fdf649f,25,2,38991814,38991957,864.864192,491.07384,928.811328,803.089836,143,318.50151956069925
190,00aad6b578474af5863466361fdf649f,25,2,38992052,38992259,928.811328,803.089836,839.891136,431.71077599999995,207,381.8759049112689
191,00aad6b578474af5863466361fdf649f,25,2,38992387,38992420,839.891136,431.71077599999995,716.437824,455.434596,33,125.71213099443403
192,00aad6b578474af5863466361fdf649f,25,2,38992693,38992723,716.437824,455.434596,774.800448,461.66706,30,58.69445874762515
193,00aad6b578474af5863466361fdf649f,25,2,38992915,38993028,774.800448,461.66706,1042.059072,461.336364,113,267.25882859546067
194,00aad6b578474af5863466361fdf649f,25,2,38993524,38993699,1042.059072,461.336364,600.011328,469.739736,175,442.1276112577226
195,00aad6b578474af5863466361fdf649f,26,1,38993796,38993827,600.011328,469.739736,667.97856,435.69241200000005,31,76.01818793751131
196,00aad6b578474af5863466361fdf649f,26,1,38993924,38993956,667.97856,435.69241200000005,596.8527359999999,425.219868,32,71.89267707848224
197,00aad6b578474af5863466361fdf649f,26,1,38994163,38995076,596.8527359999999,425.219868,517.115136,790.544664,913,373.9255158801036
198,00aad6b578474af5863466361fdf649f,26,1,38995476,38995643,517.115136,790.544664,591.240384,480.011832,167,319.25725072580843
198,00aad6b578474af5863466361fdf649f,27,1,38995476,38995643,517.115136,790.544664,591.240384,480.011832,167,319.25725072580843
199,00aad6b578474af5863466361fdf649f,27,1,38996004,38996035,591.240384,480.011832,692.576064,445.47310799999997,31,107.05999951714266
200,00aad6b578474af5863466361fdf649f,27,1,38996549,38996579,692.576064,445.47310799999997,803.048256,430.310772,30,111.50785460343936
201,00aad6b578474af5863466361fdf649f,27,1,38996772,38996920,803.048256,430.310772,604.025088,444.329496,148,199.51628009599725
202,00aad6b578474af5863466361fdf649f,27,1,38997348,38997748,604.025088,444.329496,584.657088,482.71085999999997,400,42.991261048037316
203,00aad6b578474af5863466361fdf649f,28,1,38998019,38998147,584.657088,482.71085999999997,685.589952,455.64714,128,104.49826781091109
204,00aad6b578474af5863466361fdf649f,28,1,38998548,38998580,685.589952,455.64714,595.377984,464.318244,32,90.6277397655478
